,title,case_id,top5
236,Coleman v. Court of Appeals of Md.,237,"women, leave, foreman, discrimination, howard"
237,Coleman v. Tollefson,238,"appeal, shanmugam, strike, dismissal, appeals"
238,Collins v. Virginia,239,"fitzgerald, heritage, corporation, cox, curtilage"
239,"Columbus v. Ours Garage _ Wrecker Service, Inc.",240,"cordray, sutton, safety, political, motor"
240,Comcast Corp. v. Behrend,241,"estrada, judge, class, daubert, damages"
241,"Commil USA, LLC v. Cisco Systems, Inc.",242,"patent, infringement, waxman, good, knowledge"
242,Commissioner v. Banks,243,"income, salmons, company1111, tax, attorney"
243,Comptroller of Treasury of Md. v. Wynne,244,"tax, income, maryland, perella, taxes"
244,CompuCredit Corp. v. Greenwood,245,"arbitration, sue, rights, action, mcconnell"
245,Cone v. Bell,246,"brady, goldstein, smith, drug, merits"
246,Conkright v. Frommert,247,"plan, administrator, second, stris, discretion"
247,Connecticut Dept. of Public Safety v. Doe,248,"information, sadin, public, dangerous, person"
248,Connick v. Thompson,249,"cooney, duncan, brady, prosecutors, canton"
249,"Cook County v. United States, ex rel. Chandler",250,"local, governments, damages, false, claims"
250,Cook v. Gralike,251,"mcadams, inc, fourteenth, depo, franklin"
251,"Cooper Industries, Inc. v. Leatherman Tool Group, Inc.",252,"reynolds, standard, discretion, massey, fourteenth"
252,Corley v. United States,253,"mcnabbmallory, dreeben, delay, mccolgin, confession"
253,Correctional Services Corp. v. Malesko,254,"corporation, pasternak, reporting, inc, fourteenth"
254,Costco Wholesale Corp. v. Omega S.A.,255,"section, copyright, united, englert, title"
255,County of Los Angeles v. Mendez,256,"feldman, police, officer, cause, entry"
256,Coventry Health Care of Mo. v. Nevils,257,"wessler, benefits, preemption, terms, laws"
257,Crawford v. Marion County Election Board,258,"smith, reporting, fisher, vote, souter"
258,Crawford v. Metropolitan Government of Nashville and Davidson Cty.,259,"young, investigation, opposition, schnapper, clause"
259,Crawford v. Washington,260,"fisher, inc, confrontation, statement, sherman"
260,Credit Suisse Securities (USA) LLC v. Billing,261,"sec, lovell, shapiro, laws, securities"
