,title,case_id,case_no,date,year,month,day,top5
1026,Shapiro v. McManus,1027,No. 14990,2015-11-04,2015,11,4,"judge, single, required, judges, goosby"
1027,Shaw v. Murphy,1028,No. 99-1613,2001-01-16,2001,1,16,"prison, renz, ohler, inmate, legal"
1028,Shaw v. United States,1029,No. 15-5991,2016-10-04,2016,10,4,"bank, bell, intent, property, deceive"
1029,Shelby County v. Holder,1030,No. 12-96,2013-02-27,2013,2,27,"section, formula, verrilli, problem, alabama"
1030,Shepard v. United States,1031,No. 03-9168,2004-11-08,2004,11,8,"thompson, police, look, elwood, guilty"
1031,Sheriff v. Gillie,1032,No. 15338,2016-03-29,2016,3,29,"attorney, special, counsel, office, murphy"
1032,Simmons v. Himmelreich,1033,No. 15109,2016-03-22,2016,3,22,"judgment, apply, martinez, ftca, bar"
1033,Sinochem Int_l Co. v. Malaysia Int_l Shipping Corp.,1034,No. 06-102,2007-01-09,2007,1,9,"forum, jurisdiction, non, conveniens, personal"
1034,Skilling v. United States,1035,No. 08-1394,2010-03-01,2010,3,1,"reporting, srinivasan, voir, dreeben, dire"
1035,Skinner v. Switzer,1036,No. 09-9000,2010-10-13,2010,10,13,"habeas, reporting, coleman, dna, heck"
1036,Small v. United States,1037,No. 03-750,2004-11-03,2004,11,3,"millett, boas, company1111, foreign, stevens"
1037,Smith v. Bayer Corp.,1038,No. 09-1205,2011-01-18,2011,1,18,"class, west, virginia, monahan, beck"
1038,Smith v. Cain,1039,No. 10-8145,2011-11-08,2011,11,8,"statements, reporting, boatner, brady, shanmugam"
1039,Smith v. City of Jackson,1040,No. 03-1160,2004-11-03,2004,11,3,"age, goldstein, company1111, impact, reasonable"
1040,Smith v. Doe,1041,No. 01-729,2002-11-13,2002,11,13,"thompson, information, dangerous, person, punishment"
1041,Smith v. Massachusetts,1042,No. 03-8661,2004-12-01,2004,12,1,"judge, nathanson, trial, jury, neaves"
1042,Smith v. Spisak,1043,No. 08-724,2009-10-13,2009,10,13,"benza, jury, cordray, supreme, mills"
1043,Smith v. Texas,1044,No. 05-11304,2007-01-17,2007,1,17,"error, steiker, cruz, harmless, standard"
1044,Smith v. United States,1045,No. 11-8976,2012-11-06,2012,11,6,"conspiracy, limitations, defendant, harrington, burden"
1045,Snyder v. Louisiana,1046,No. 06-10119,2007-12-04,2007,12,4,"boudreaux, bright, back, prosecutor, brooks"
1046,Snyder v. Phelps,1047,No. 09-751,2010-10-06,2010,10,6,"phelps, summers, public, funeral, signs"
1047,Sole v. Wyner,1048,No. 06-531,2007-04-17,2007,4,17,"preliminary, injunction, galanter, fees, seitz"
1048,Solid Waste Agency of No. Cook Cty. v. Army Corps of Engineers,1049,No. 99-1178,2000-10-31,2000,10,31,"waters, navigable, wallace, commerce, water"
1049,Sorrell v. IMS Health Inc.,1050,No. 10-779,2011-04-26,2011,4,26,"information, goldstein, doctors, use, drug"
1050,Sossamon v. Texas,1051,No. 08-1438,2010-11-02,2010,11,2,"relief, appropriate, damages, clear, clause"
1051,South Carolina v. North Carolina,1052,No. 138,2009-10-13,2009,10,13,"carolina, water, north, special, master"
1052,"South Dakota v. Wayfair, Inc.",1053,No. 17-494,2018-04-17,2018,4,17,"heritage, corporation, quill, jackley, tax"
1053,South Fla. Water Management Dist. v. Miccosukee Tribe,1054,No. 02-626,2004-01-14,2004,1,14,"water, navigable, bishop, inc, waters"
1054,Southern Union Co. v. United States,1055,No. 11-94,2012-03-19,2012,3,19,"jury, phillips, dreeben, judge, fine"
1055,Spector v. Norwegian Cruise Line Ltd.,1056,No. 03-1388,2005-02-28,2005,2,28,"united, ship, ships, goldstein, ada"
1056,"Spokeo, Inc. v. Robins",1057,No. 131339,2015-11-02,2015,11,2,"pincus, consovoy, injury, harm, kagan"
1057,Sprietsma v. Mercury Marine,1058,No. 01-706,2002-10-15,2002,10,15,"guard, coast, propeller, common, well"
1058,"Sprint Communications Co. v. APCC Services, Inc.",1059,No. 07-552,2008-04-21,2008,4,21,"phillips, article, iii, action, assignee"
1059,"Sprint Communications, Inc. v. Jacobs",1060,No. 12815,2013-11-05,2013,11,5,"lynch, younger, agency, sprint, simeone"
1060,SprintUnited Management Co. v. Mendelsohn,1061,No. 06-1221,2007-12-03,2007,12,3,"cane, egan, trial, garre, relevant"
1061,Standard Fire Ins. Co. v. Knowles,1062,No. 11-1450,2013-01-07,2013,1,7,"class, amount, boutrous, claims, frederick"
1062,"Star Athletica, L.L.C. v. Varsity Brands, Inc.",1063,No. 15-866,2016-10-31,2016,10,31,"design, copyright, bursch, look, article"
1063,"State Farm Fire _ Casualty Co. v. United States, ex rel. Rigsby",1064,No. 15-513,2016-11-01,2016,11,1,"seal, sullivan, harm, dismissal, violation"
1064,State Farm Mut. Automobile Ins. Co. v. Campbell,1065,No. 01-1289,2002-12-11,2002,12,11,"birnbaum, tribe, utah, farm, conduct"
1065,Staub v. Proctor Hospital,1066,No. 09-400,2010-11-02,2010,11,2,"employer, davis, factor, decision, action"
1066,Stern v. Marshall,1067,No. 10-179,2011-01-18,2011,1,18,"bankruptcy, richland, iii, article, englert"
1067,Stewart v. Dutra Constr. Co.,1068,No. 03-814,2004-11-01,2004,11,1,"vessel, navigation, reporting, company1111, jones"
1068,Stogner v. California,1069,No. 01-1757,2003-03-31,2003,3,31,"post, reporting, facto, limitations, floor"
1069,Stokeling v. United States,1070,No. 17-5554,2018-10-09,2018,10,9,"force, robbery, liu, heritage, corporation"
1070,Stolt-Nielsen S.A. v. AnimalFeeds Int’l. Corp.,1071,No. 08-1198,2009-12-09,2009,12,9,"contract, waxman, pillard, arbitration, class"
1071,"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc., ET AL",1072,No. 06-43,2007-10-09,2007,10,9,"grossman, deceptive, charter, souter, reliance"
1072,"Stop the Beach Renourishment, Inc. v. Florida Dept. of Environmental Protection",1073,No. 08-1151,2009-12-02,2009,12,2,"property, safriet, florida, makar, beach"
1073,Sturgeon v. Frost,1074,No. 141209,2016-01-20,2016,1,20,"park, lands, kovner, service, waters"
1074,Sullivan v. Florida,1075,No. 08-7621,2009-11-09,2009,11,9,"stevenson, florida, makar, life, sentence"
1075,Summers v. Earth Island Institute,1076,No. 07-463,2008-10-08,2008,10,8,"kneedler, challenge, kenna, regulation, project"
1076,"Supap Kirtsaeng v. John Wiley _ Sons, Inc.",1077,No. 15375,2016-04-25,2016,4,25,"fees, rosenkranz, second, smith, position"
1077,Susan B. Anthony List v. Driehaus,1078,No. 13193,2014-04-22,2014,4,22,"murphy, speech, commission, probable, cause"
1078,Sveen v. Melin,1079,No. 16-1432,2018-03-19,2018,3,19,"divorce, heritage, unikowsky, corporation, contract"
1079,Swierkiewicz v. Sorema N. A.,1080,No. 00-1853,2002-01-15,2002,1,15,"complaint, brody, goodman, plaintiff, facts"
1080,Sykes v. United States,1081,No. 09-11311,2011-01-12,2011,1,12,"marsh, risk, wall, offense, violent"
1081,"Syngenta Crop Protection, Inc. v. Henson",1082,No. 01-757,2002-10-15,2002,10,15,"alsobrook, writs, reporting, injunction, jurisdiction"
1082,"T-Mobile South, LLC v. City of Roswell",1083,No. 13975,2014-11-10,2014,11,10,"reasons, minutes, fisher, decision, carothers"
1083,"Tahoe-Sierra Pres. Council, Inc. v. Tahoe Reg. Planning Agency",1084,No. 00-1167,2002-01-07,2002,1,7,"berger, property, use, temporary, moratorium"
1084,"Talk America, Inc. v. Michigan Bell Telephone Co.",1085,No. 10-313,2011-03-30,2011,3,30,"interconnection, angstreich, facilities, bursch, entrance"
1085,"Taniguchi v. Kan Pacific Saipan, Ltd.",1086,No. 10-1472,2012-02-21,2012,2,21,"translation, interpreter, himmelfarb, document, interpreters"
1086,Tapia v. United States,1087,No. 10-5400,2011-04-18,2011,4,18,"judge, rehabilitation, sentence, prison, imprisonment"
1087,Tarrant Regional Water Dist. v. Herrmann,1088,No. 11-889,2013-04-23,2013,4,23,"water, texas, blatt, reporting, compact"
1088,Taylor v. Sturgell,1089,No. 07-371,2008-04-16,2008,4,16,"rosenbaum, reporting, taylor, herrick, hallwarddriemeier"
1089,Taylor v. United States,1090,No. 146166,2016-02-23,2016,2,23,"commerce, marijuana, yang, jones, interstate"
1090,TC Heartland LLC v. Kraft Foods Group Brands LLC,1091,No. 16-341,2017-03-27,2017,3,27,"venue, jay, dabney, patent, fourco"
1091,"Tellabs, Inc. v. Makor Issues _ Rights, Ltd.",1092,No. 06-484,2007-03-28,2007,3,28,"inference, reporting, strong, miller, phillips"
1092,Tenet v. Doe,1093,No. 03-139511,2005-01-11,2005,1,11,"burman, totten, company1111, clement, contract"
1093,Tennard v. Dretke,1094,No. 02-10038,2004-03-22,2004,3,22,"owen, inc, marshall, jury, penry"
1094,Tennessee Secondary School Athletic Assn. v. Brentwood Academy,1095,No. 06-427,2007-04-18,2007,4,18,"blumstein, school, association, mahoney, well"
1095,Tennessee Student Assistance Corporation v. Hood,1096,No. 02-1606,2004-03-01,2004,3,1,"bankruptcy, brand, inc, gerson, adversary"
1096,Tennessee v. Lane,1097,No.02-1667,2004-01-13,2004,1,13,"moore, constitutional, inc, clement, title"
1097,"Teva Pharmaceuticals USA, Inc. v. Sandoz, Inc.",1098,No. 13854,2014-10-15,2014,10,15,"patent, phillips, jay, factual, different"
1098,Texaco Inc. v. Dagher,1099,No. 04-805,2006-01-10,2006,1,10,"venture, joint, price, alioto, equilon"
1099,"Texas Dept. of Housing and Community Affairs v. Inclusive Communities Project, Inc.",1100,No. 131371,2015-01-21,2015,1,21,"keller, disparate, impact, housing, verrilli"
1100,Texas v. Cobb,1101,No. 99-1702,2001-01-16,2001,1,16,"greenwood, police, amendment, coleman, sixth"
1101,Texas v. New Mexico,1102,No. 141,2018-01-08,2018,1,8,"united, compact, new, water, heritage"
1102,The Boeing Co. v. United States,1103,No. 01-1209,2002-12-09,2002,12,9,"geller, income, jones, disc, well"
1103,Thomas v. Chicago Park Dist.,1104,No. 00-1249,2001-12-03,2001,12,3,"wilson, permit, park, first, strauss"
1104,"Thompson v. North American Stainless, LP",1105,No. 09-291,2010-12-07,2010,12,7,"person, latherow, schnapper, action, thompson"
1105,Thompson v. Western States Medical Center,1106,No. 01-344,2002-02-26,2002,2,26,"hoffman, kneedler, drug, new, advertising"
1106,Thornton v. United States,1107,No. 03-5165,2004-03-31,2004,3,31,"car, belton, search, police, officer"
1107,Tibbals v. Carter,1108,No. 11-218,2012-10-09,2012,10,9,"michelman, stay, petitioner, claims, standard"
1108,Tibble v. Edison Int_l,1109,No. 13550,2015-02-24,2015,2,24,"duty, fund, frederick, funds, ninth"
1109,Till v. SCS Credit Corp.,1110,No. 02-1016,2003-12-02,2003,12,2,"rate, brunstad, bankruptcy, inc, chapter"
1110,Timothy Mark Cameron Abbott v. Jacquelyn Vaye Abbott,1111,No. 08-645,2010-01-12,2010,1,12,"child, custody, convention, rights, hays"
1111,Tolentino v. New York,1112,No. 09-11556,2011-03-21,2011,3,21,"schwarz, records, name, halligan, car"
1112,Torres v. Lynch,1113,No. 141096,2015-11-03,2015,11,3,"guadagno, provision, element, goldenberg, offenses"
1113,Tory v. Cochran,1114,No. 03-1488,2005-03-22,2005,3,22,"injunction, chemerinsky, cole, cochran, speech"
1114,"Town of Chester v. Laroe Estates, Inc.",1115,No. 16-605,2017-04-17,2017,4,17,"article, intervenor, dvoretzky, iii, defendant"
1115,Town of Greece v. Galloway,1116,No. 12696,2013-11-06,2013,11,6,"laycock, hungar, town, legislative, prayers"
1116,"Toyota Motor Mfg., Ky., Inc. v. Williams",1117,No. 00-1089,2001-11-07,2001,11,7,"manual, tasks, page, rosenbaum, life"
1117,"TrafFix Devices, Inc. v. Marketing Displays, Inc",1118,No. 99-1571,2000-11-29,2000,11,29,"patent, artz, trade, dress, functionality"
