,title,case_id,case_no,date,year,month,day,top5
0,14 Penn Plaza LLC v. Pyett,1,No. 07-581,2008-12-01,2008,12,1,"union, arbitration, bargaining, individual, collective"
1,Abbott v. Perez,2,No. 17-586,2018-04-24,2018,4,24,"heritage, corporation, legislature, keller, districts"
2,Abbott v. United States,3,No. 09-479,2010-10-04,2010,10,4,"clause, sentence, mcleese, minimum, provision"
3,Abdul-Kabir v. Quarterman,4,No. 05-11284,2006-01-17,2006,1,17,"jury, marshall, penry, johnson, brewer"
4,Abdur_Rahman v. Bell,5,No. 01-9094,2002-11-06,2002,11,6,"liebman, summers, successive, second, appeal"
5,Abramski v. United States,6,No. 121493,2014-01-22,2014,1,22,"gun, person, palmore, straw, dietz"
6,Abuelhawa v. United States,7,No. 08-192,2009-03-04,2009,3,4,"miller, use, felony, phone, drug"
7,Adams v. Florida Power Corp.,8,No. 01-584,2002-03-20,2002,3,20,"impact, age, disparate, crabtree, nager"
8,"Adarand Constructors, Inc. v. Mineta",9,No. 00-730,2001-10-31,2001,10,31,"olson, pendley, program, standing, department"
9,Adoptive Couple v. Baby Girl,10,No. 12-399,2013-04-16,2013,4,16,"father, rights, parent, blatt, custody"
10,Advocate Health Care Network v. Stapleton,11,No. 16-74,2017-03-27,2017,3,27,"church, plan, feldman, plans, blatt"
11,Aetna Health Inc. v. Davila,12,No. 02-1845,2004-03-23,2004,3,23,"medical, plan, young, inc, care"
12,"Agency for Int_l Development v. Alliance for Open Society Int_l, Inc.",13,No. 12-10,2013-04-22,2013,4,22,"page, program, bowker, srinivasan, policy"
13,Air Wisconsin Airlines Corp. v. Hoeper,14,No. 12315,2013-12-09,2013,12,9,"jury, tsa, russell, cohn, different"
14,Air _ Liquid Systems Corp. v. DeVries,15,No. 17-1104,2018-10-10,2018,10,10,"asbestos, heritage, goldstein, corporation, manufacturer"
15,"Alabama Dept. of Revenue v. CSX Transp., Inc..pdf(1).txt",16,No. 13553,2014-12-09,2014,12,9,"tax, railroads, well, brasher, carriers"
16,"Alabama Dept. of Revenue v. CSX Transp., Inc.",17,No. 13553,2014-12-09,2014,12,9,"tax, railroads, well, brasher, carriers"
17,Alabama Legislative Black Caucus v. Alabama,18,No. 13895,2014-11-12,2014,11,12,"districts, black, pildes, race, percent"
18,Alabama v. Bozeman,19,No. 00-492,2001-04-17,2001,4,17,"stewart, christensen, inc, fourteenth, depo"
19,Alabama v. North Carolina,20,No. 132,2010-01-11,2010,1,11,"carolina, phillips, commission, compact, money"
20,Alabama v. Shelton,21,No. 00-1214,2002-02-19,2002,2,19,"sentence, alabama, counsel, probation, pryor"
21,Alaska Dept. of Environmental Conservation v. EPA,22,No. 02-658,2003-10-08,2003,10,8,"epa, franklin, hungar, authority, agency"
22,Alaska v. United States,23,No. 128,2005-01-10,2005,1,10,"minear, lands, franklin, alaska, company1111"
23,Alexander v. Sandoval,24,No. 99-1908,2001-01-16,2001,1,16,"action, sutton, private, schnapper, regulations"
24,Ali v. Federal Bureau of Prisons,25,No. 06-9130,2007-10-29,2007,10,29,"officer, officers, customs, enforcement, shanmugam"
25,Alice Corp. v. CLS Bank Int’l,26,No. 13298,2014-03-31,2014,3,31,"computer, phillips, patent, patents, abstract"
26,Alleyne v. United States,27,No. 11-9335,2013-01-14,2013,1,14,"jury, judge, dreeben, maguire, mandatory"
27,Allison Engine Co. v. United States Ex Rel. Sanders,28,No. 07-214,2008-02-26,2008,2,26,"reporting, olson, false, navy, contractor"
28,"Already, LLC v. Nike, Inc.",29,No. 11-982,2012-11-07,2012,11,7,"covenant, goldstein, dabney, want, trademark"
29,"Altria Group, Inc. v. Good",30,No. 07-562,2008-10-06,2008,10,6,"frederick, health, olson, cigarette, advertising"
30,Alvarez v. Smith,31,No. 08-351,2009-10-14,2009,10,14,"castiglione, hearing, property, peters, class"
31,"American Broadcasting Co. v. Aereo, Inc.",32,No. 13461,2014-04-22,2014,4,22,"performance, public, clement, frederick, aereo"
32,American Elec. Power Co. v. Connecticut,33,No. 10-174,2011-04-19,2011,4,19,"underwood, common, katyal, displacement, keisler"
33,American Express Co. v. Italian Colors Restaurant,34,No. 12-133,2013-02-27,2013,2,27,"arbitration, kellogg, class, clement, costs"
34,American Ins. Assn. v. Garamendi,35,No. 02-722,2003-04-23,2003,4,23,"foreign, california, kaplan, reporting, 4th"
35,"American Needle, Inc. v. National Football League",36,No. 08-661,2010-01-13,2010,1,13,"nager, venture, reason, teams, nfl"
36,"American Trucking Assns., Inc. v. Browner",37,No. 99-1426,2000-11-07,2000,11,7,"health, public, warren, inc, fourteenth"
37,"American Trucking Assns., Inc. v. Los Angeles",38,No. 11-798,2013-04-16,2013,4,16,"page, port, rosenthal, trucks, lerman"
38,"American Trucking Assns., Inc. v. Michigan Pub. Serv. Comm_n",39,No. 03-1230,2005-04-26,2005,4,26,"fee, michigan, interstate, boynton, intrastate"
39,"Americold Realty Trust v. ConAgra Foods, Inc.",40,No. 141382,2016-01-19,2016,1,19,"trust, look, trustees, entity, carden"
40,Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,41,No. 11-1085,2012-11-05,2012,11,5,"class, market, waxman, materiality, reliance"
41,"Animal Science Products, Inc. v. Hebei Welcome Pharmaceutical Co.",42,No. 16-1220,2018-04-24,2018,4,24,"foreign, heritage, reporting, corporation, deference"
42,Anza v. Ideal Steel Supply Corp.,43,No. 04-433,2006-03-27,2006,3,27,"roddy, new, frederick, fraud, rico"
43,Arbaugh v. Y _ H Corp.,44,No. 04-944,2006-01-11,2006,1,11,"jurisdiction, matter, jurisdictional, prendergast, schwartz"
44,Archer v. Warner,45,No. 01-1418,2003-01-13,2003,1,13,"settlement, ayer, fraud, debt, bankruptcy"
45,Arizona Christian School Tuition Organization v. Winn,46,No. 09-987,2010-11-03,2010,11,3,"money, bender, tax, program, religious"
46,Arizona Free Enterprise Club_s Freedom Club Pac v. Bennett,47,No. 10-238,2011-03-28,2011,3,28,"maurer, candidate, public, reporting, candidates"
47,Arizona State Legislature v. Arizona Independent Redistricting Comm_n,48,No. 131314,2015-03-02,2015,3,2,"legislature, reporting, clement, power, well"
48,Arizona v. Gant,49,No. 07-542,2008-10-07,2008,10,7,"belton, search, car, yang, arrest"
49,Arizona v. Inter Tribal Council of Ariz. Inc.,50,No. 12-71,2013-03-18,2013,3,18,"page, horne, millett, require, commission"
50,Arizona v. Johnson,51,No. 07-1122,2008-12-09,2008,12,9,"officer, pincus, passenger, stop, seizure"
51,Arizona v. United States,52,No. 11-182,2012-04-25,2012,4,25,"verrilli, clement, section, person, immigration"
52,Arkansas Dept. of Health and Human Servs. v. Ahlborn,53,No. 04-1506,2006-02-27,2006,2,27,"blair, settlement, medical, arkansas, millett"
53,Arkansas Game and Fish Comm_n v. United States,54,No. 11-597,2012-10-03,2012,10,3,"kneedler, goodhart, land, flood, water"
54,Arlington Central School Dist. Bd. of Ed. v. Murphy,55,No. 05-18,2006-04-19,2006,4,19,"fees, costs, vladeck, kuntz, attorneys"
55,Arlington v. FCC,56,No. 11-1545,2013-01-16,2013,1,16,"authority, agency, verrilli, chevron, fcc"
56,Armour v. Indianapolis,57,No. 11-161,2012-02-29,2012,2,29,"stancil, clement, city, equal, barrett"
57,"Armstrong v. Exceptional Child Center, Inc.",58,No. 1415,2015-01-20,2015,1,20,"piotrowski, action, cms, withroe, rates"
58,Army Corps of Engineers v. Hawkes Co.,59,No. 15290,2016-03-30,2016,3,30,"jurisdictional, determination, hopper, stewart, corps"
59,Arthur Andersen LLP v. Carlisle,60,No. 08-146,2009-03-03,2009,3,3,"section, arbitration, agreement, baker, enforce"
60,Arthur Andersen LLP v. United States,61,No. 04-368,2005-04-27,2005,4,27,"company1111, mahoney, section, word, definition"
61,Artis v. District of Columbia,62,No. 16-460,2017-11-01,2017,11,1,"period, alikhan, heritage, limitations, corporation"
62,Artuz v. Bennett,63,No. 99-1238,2000-10-10,2000,10,10,"castellano, application, procedural, claims, bar"
63,Ashcroft v. al-Kidd,64,No. 10-98,2011-03-02,2011,3,2,"witness, immunity, material, absolute, prosecutor"
64,Ashcroft v. American Civil Liberties Union,65,No. 03-218,2004-03-02,2004,3,2,"beeson, olson, inc, material, problem"
65,Ashcroft v. Free Speech Coalition,66,No. 00-795,2001-10-30,2001,10,30,"sirkin, clement, child, defense, affirmative"
66,Ashcroft v. Iqbal,67,No. 07-1015,2008-12-10,2008,12,10,"garre, reinert, well, policy, petitioners"
67,Ashcroft v. Raich,68,No. 03-1454,2004-11-29,2004,11,29,"barnett, marijuana, commerce, clement, market"
68,"Association for Molecular Pathology v. Myriad Genetics, Inc.",69,No. 12-398,2013-04-15,2013,4,15,"patent, castanias, dna, nature, new"
69,"Astra USA, Inc. v. Santa Clara County",70,No. 09-1273,2011-01-19,2011,1,19,"contract, secretary, blatt, frederick, agreement"
70,Astrue v. Capato,71,No. 11-159,2012-03-19,2012,3,19,"child, children, rothfeld, miller, benefits"
71,Astrue v. Ratliff,72,No. 08-1322,2010-02-22,2010,2,22,"attorney, eaja, leach, fee, yang"
72,Atkins v. Virginia,73,No. 00-8452,2002-02-20,2002,2,20,"ellis, rumpz, reporting, death, mental"
73,Atkinson Trading Co. v. Shirley,74,No. 00-454,2001-03-27,2001,3,27,"tax, cole, land, tribe, reservation"
74,Atlanatic Sounding Co. v. Townsend,75,No. 08-214,2009-03-02,2009,3,2,"damages, punitive, maintenance, cure, jones"
75,Atlantic Marine Constr. Co. v. United States Dist. Court for Western Dist. Tex.,76,No. 12929,2013-10-09,2013,10,9,"forum, hastings, contract, allensworth, venue"
76,Atwater v. Largo Vista,77,No. 99-1408,2000-12-04,2000,12,4,"carli, arrest, george, officer, problem"
77,AT_T Corp. v. Hulteen,78,No. 07-543,2008-12-10,2008,12,10,"seniority, russell, discrimination, discriminatory, system"
78,AT_T Mobility LLC v. Concepcion,79,No. 09-893,2010-11-09,2010,11,9,"arbitration, contract, pincus, unconscionability, class"
79,Ayers v. Belmontes,80,No. 05-493,2006-10-03,2006,10,3,"johnson, factor, multhaup, crime, jury"
80,Ayotte v. Planned Parenthood of Northern New Eng.,81,No. 04-1144,2005-11-30,2005,11,30,"company1111, exception, dalven, health, ayotte"
81,Bailey v. United States,82,No. 11-770,2012-11-01,2012,11,1,"summers, wall, officers, search, police"
82,"Baker Botts, L.L.P. v. ASARCO LLC",83,No. 14103,2015-02-25,2015,2,25,"fee, bankruptcy, application, estate, reasonable"
83,Baldwin v. Reese,84,No. 02-964,2003-12-08,2003,12,8,"balske, myers, inc, oregon, counsel"
84,Ballard v. Commissioner,85,No. 03-184,2004-12-07,2004,12,7,"judge, report, tax, hungar, trial"
85,Bank of America Corp. v. Miami,86,No. 15-1111,2016-11-08,2016,11,8,"city, katyal, property, cause, interest"
86,"Bank of America, N.A. v. Caulkett",87,No. 131421,2015-03-24,2015,3,24,"dewsnup, bibas, value, secured, lien"
87,Banks v. Dretke,88,No. 02-8286,2003-12-08,2003,12,8,"kendall, farr, bunn, banks, inc"
88,Barber v. Thomas,89,No. 09-5201,2010-03-30,2010,3,30,"year, days, sentence, sady, credit"
89,Barnes v. Gorman,90,No. 01-682,2002-04-23,2002,4,23,"damages, punitive, title, robbins, nelson"
90,Barnhart v. Peabody Coal Co.,91,No. 01-705,2002-10-08,2002,10,8,"october, unassigned, sutton, assignments, fund"
91,Barnhart v. Thomas,92,No. 02-763,2003-10-14,2003,10,14,"job, work, commissioner, alter, step"
92,Barnhart v. Walton,93,No. 00-1937,2002-01-16,2002,1,16,"work, months, impairment, pryor, disability"
93,Bartlett v. Strickland,94,No. 07-689,2008-10-14,2008,10,14,"percent, districts, group, thurman, minority"
94,Bartnicki v. Vopper,95,No. 99-1687,2000-12-05,2000,12,5,"information, inc, fourteenth, depo, public"
95,Bates v. Dow Agrosciences LLC,96,No. 03-388,2005-01-10,2005,1,10,"label, company1111, waxman, product, frederick"
96,Baze v. Rees,97,No. 07-5439,2008-01-07,2008,1,7,"verrilli, englert, risk, protocol, drug"
97,Beard v. Banks,98,No. 04-1739,2006-03-27,2006,3,27,"krakoff, rovelli, inmates, prison, souter"
98,Beard v. Kindler,99,No. 08-992,2009-11-02,2009,11,2,"discretion, eisenberg, courts, third, defendant"
99,Beck v. PACE Int_l Union,100,No. 05-144810,2007-04-24,2007,4,24,"plan, decision, merger, sponsor, clark"
100,Becker v. Montgomery,101,No. 00-6374,2001-04-16,2001,4,16,"sutton, signature, notice, inc, fourteenth"
101,Beckles v. United States,102,No. 15-8544,2016-11-28,2016,11,28,"guidelines, reporting, bergmann, sentence, judge"
102,"BedRoc Limited, LLC v. United States",103,No. 02-1593,2004-01-20,2004,1,20,"gravel, sand, mineral, sansonetti, valuable"
103,Begay v. United States,104,No. 06-11543,2008-01-15,2008,1,15,"crimes, katze, risk, kruger, injury"
104,Bell Atlantic v. Twombly,105,No. 05-1126,2006-11-27,2006,11,27,"richards, conspiracy, agreement, complaint, alleged"
105,Bell v. Cone,106,No. 01-400,2002-03-25,2002,3,25,"hutton, counsel, moore, phase, jury"
106,Bell v. Kelly,107,No. 07-1223,2008-11-12,2008,11,12,"new, bress, facts, souter, first"
107,Bell v. Thompson,108,No. 04-514,2005-04-26,2005,4,26,"smith, mandate, appeals, shors, petition"
108,Beneficial Nat. Bank v. Anderson,109,No. 02-306,2003-04-30,2003,4,30,"action, cause, clark, floor, waxman"
109,Benisek v. Lamone,110,No. 17-333,2018-03-28,2018,3,28,"heritage, kimberly, sullivan, corporation, first"
110,Berghuis v. Smith,111,No. 08-1402,2010-01-20,2010,1,20,"percent, lawrence, jurors, grand, courts"
111,Berghuis v. Thompkins,112,No. 08-1470,2010-03-01,2010,3,1,"jacobs, restuccia, police, miranda, want"
112,Bethune-Hill v. Virginia State Bd. of Elections,113,No. 15-680,2016-12-05,2016,12,5,"elias, districts, percent, look, gornstein"
113,Betterman v. Montana,114,No. 141457,2016-03-28,2016,3,28,"defendant, prejudice, delay, trial, process"
114,BE_K Constr. Co. v. NLRB,115,No. 01-518,2002-04-16,2002,4,16,"board, baskin, wallace, retaliatory, labor"
115,BG Group plc v. Republic of Argentina,116,No. 12138,2013-12-02,2013,12,2,"arbitration, treaty, agreement, argentina, united"
116,Bilski v. Kappos,117,No. 08-964,2009-11-09,2009,11,9,"jakes, patent, process, machine, stewart"
117,Birchfield v. North Dakota,118,No. 141468,2016-04-20,2016,4,20,"warrant, rothfeld, blood, breath, mccarthy"
118,Black v. United States,119,No. 08-876,2009-12-08,2009,12,8,"dreeben, estrada, fraud, harm, economic"
119,Black _ Decker Disability Plan v. Nord,120,No. 02-469,2003-04-28,2003,4,28,"physician, conflict, rohlfing, ninth, 4th"
120,Blakely v. Washington,121,No. 02-1632,2004-03-23,2004,3,23,"judge, sentencing, fisher, inc, discretion"
121,Bloate v. United States,122,No. 08-728,2009-10-06,2009,10,6,"stancil, motion, motions, days, pretrial"
122,Blueford v. Arkansas,123,No. 10-1320,2012-02-22,2012,2,22,"jury, sloan, verdict, judge, mcdaniel"
123,BNSF R. Co. v. Tyrrell,124,No. 16-405,2017-04-25,2017,4,25,"jurisdiction, montana, murray, personal, business"
124,Board of Ed. Dist. No. 92 of Pottawatomie Cty. v. Earls,125,No. 01-332,2002-03-19,2002,3,19,"school, drug, problem, students, vernonia"
125,"Board of Education of the City School District of the City of New York v. Tom F., on Behalf of Gilbert F., a Minor Child",126,No. 06-637,2007-10-01,2007,10,1,"school, public, child, education, koerner"
126,"Board of Trustees of Leland Stanford Junior Univ. v. Roche Molecular Systems, Inc.",127,No. 09-1159,2011-02-28,2011,2,28,"stanford, assignment, title, invention, contractor"
127,Board of Trustees of the Univ. of Ala. v. Garrett,128,No. 99-1240,2000-10-11,2000,10,11,"sutton, gottesman, rational, basis, constitutional"
128,Bobby v. Bies,129,No. 08-598,2009-04-27,2009,4,27,"retardation, mental, ohio, blume, atkins"
129,Bolivarian Republic of Venezuela v. Helmerich _ Payne Int_l Drilling Co.,130,No. 15-423,2016-11-02,2016,11,2,"property, jurisdiction, international, carroll, jurisdictional"
130,Bond v. United States,131,No. 12158,2013-11-05,2013,11,5,"power, clement, verrilli, convention, legislation"
131,Booth v. Churner,132,No. 99-1964,2001-03-20,2001,3,20,"prison, administrative, money, pappert, process"
132,Borden Ranch Partnership v. Army Corps of Engineers,133,No. 01-1243,2002-12-10,2002,12,10,"material, minear, bishop, conveyance, source"
133,Borough of Duryea v. Guarnieri,134,No. 09-1476,2011-03-22,2011,3,22,"petition, clause, schnapper, speech, employee"
134,Boulware v. United States,135,No. 06-1509,2008-01-08,2008,1,8,"maynard, corporation, return, capital, cline"
135,Boumediene v. Bush,136,No. 06-1195,2007-12-05,2007,12,5,"clement, habeas, waxman, souter, war"
136,Bowles v. Russell,137,No. 06-5306,2007-03-26,2007,3,26,"mancino, appeal, days, marshall, order"
137,Bowman v. Monsanto Co.,138,No. 11-796,2013-02-19,2013,2,19,"seed, seeds, monsanto, walters, patent"
138,Boyer v. Louisiana,139,No. 11-9953,2013-01-14,2013,1,14,"counsel, sigler, trial, funding, louisiana"
139,Boyle v. United States,140,No. 07-1309,2009-01-14,2009,1,14,"enterprise, reporting, yang, fernich, pattern"
140,BP America Production Co. v. Burton,141,No.05-669,2006-10-04,2006,10,4,"administrative, lamken, joseffer, proceedings, action"
141,Bradshaw v. Stumpf,142,No. 04-637,2005-04-19,2005,4,19,"wesley, freedman, stumpf, cole, trial"
142,Branch v. Smith,143,No. 01-1437,2002-12-10,2002,12,10,"plan, mcduff, constitutional, injunction, mississippi"
143,Bravo-Fernandez v. United States,144,No. 15-537,2016-10-04,2016,10,4,"jury, conviction, blatt, yeager, error"
144,Brendlin v. California,145,No. 06-8120,2007-04-23,2007,4,23,"passenger, car, campbell, stop, zall"
145,Brentwood Academy v. Tennessee Secondary Athletic Assn.,146,No. 99-901,2000-10-11,2000,10,11,"school, schools, public, colbert, board"
146,Breuer v. Jim_s Concrete of Brevard,147,No. 02-337,2003-04-02,2003,4,2,"removal, 4th, floor, maintain, fair"
147,Brian Michael Gall v. United States,148,No. 06-7949,2007-10-02,2007,10,2,"judge, green, guidelines, dreeben, sentence"
148,Bridge v. Phoenix Bond _ Indemnity Co. Long Family Land _ Cattle Co.,149,No. 07-210,2008-04-14,2008,4,14,"fraud, reporting, mail, civil, becker"
149,Brigham City v. Stuart,150,No. 05-502,2006-04-24,2006,4,24,"studebaker, gray, officer, officers, knock"
150,Briscoe v. Virginia,151,No. 07-11191,2010-01-11,2010,1,11,"witness, friedman, defendant, confrontation, clause"
151,"Bristol-Myers Squibb Co. v. Superior Court of Cal., San Francisco Cty.",152,No. 16-466,2017-04-25,2017,4,25,"california, goldstein, jurisdiction, katyal, interest"
152,Brown v. Payton,153,No. 03-1039,2004-11-10,2004,11,10,"jury, cortina, factor, prosecutor, payton"
153,Brown v. Sanders,154,No. 04-980,2005-10-11,2005,10,11,"kirkland, jury, circumstances, factor, company1111"
154,"Browner v. American Trucking Assns., Inc.",155,No. 99-1257,2000-11-07,2000,11,7,"health, epa, standard, waxman, effects"
155,Bruce v. Samuels,156,No. 14844,2015-11-04,2015,11,4,"filing, fees, percent, prisoner, fee"
156,"Bruesewitz v. Wyeth, Inc.",157,No. 09-152,2010-10-12,2010,10,12,"vaccine, frederick, sullivan, design, manufacturers"
157,Brumfield v. Cain,158,No. 131433,2015-03-30,2015,3,30,"desanctis, hearing, burns, record, standard"
158,Buck v. Davis,159,No. 15-8049,2016-10-05,2016,10,5,"swarns, buck, keller, fifth, jury"
159,"Buckeye Check Cashing, Inc. v. Cardegna",160,No. 04-1264,2005-11-29,2005,11,29,"contract, arbitration, company1111, prima, landau"
160,"Buckhannon Board _ Care Home, Inc. v. West Virginia Dept. of Health and Human Resources",161,No. 99-1848,2001-02-27,2001,2,27,"arceneaux, cleek, inc, fourteenth, depo"
161,Buckman Company v. Plaintiffs_ Legal Committee,162,No. 98-1768,2000-12-04,2000,12,4,"fda, use, geller, market, inc"
162,Buford v. United States,163,No. 99-9073,2001-01-08,2001,1,8,"strang, wolfson, consolidation, consolidated, appeals"
163,Bullard v. Blue Hills Bank,164,No. 14116,2015-04-01,2015,4,1,"plan, reporting, debtor, hallwarddriemeier, appeals"
164,Bullcoming v. New Mexico,165,No. 09-10876,2011-03-02,2011,3,2,"fisher, lab, report, defendant, trial"
165,"Bullock v. BankChampaign, N. A.",166,No. 11-1518,2013-03-18,2013,3,18,"trust, defalcation, loss, byrne, bensinger"
166,Burgess v. United States,167,No. 06-11429,2008-03-24,2008,3,24,"felony, fisher, offense, definition, drug"
167,Burlington N. _ S. F. R. Co. v. White,168,No. 05-259,2006-04-17,2006,4,17,"phillips, standard, donati, employment, action"
168,Burlington N. _ S.F.R. Co. v. United States,169,No. 07-1601,2009-02-24,2009,2,24,"shell, stewart, waste, apportionment, product"
169,Burrage v. United States,170,No. 12-7515,2013-11-12,2013,11,12,"cause, heroin, death, butfor, substantial"
170,Burt v. Titlow,171,No. 12414,2013-10-08,2013,10,8,"plea, newman, record, titlow, toca"
171,Burton v. Stewart,172,No. 05-9222,2006-11-07,2006,11,7,"judgment, sentence, apprendi, fisher, petition"
172,Bush v. Gore,173,No. 00-949,2000-12-11,2000,12,11,"boies, florida, olson, supreme, standard"
173,Bush v. Palm Beach County Canvassing Board,174,No. 00-836,2000-12-01,2000,12,1,"florida, olson, section, supreme, constitution"
174,Byrd v. United States,175,No. 16-1371,2018-01-09,2018,1,9,"car, heritage, feigin, corporation, loeb"
175,"B_B Hardware, Inc. v. Hargis Industries, Inc.",176,No. 13352,2014-12-02,2014,12,2,"board, mark, use, infringement, different"
176,"C _ L Enterprises, Inc. v. Citizen Band Potawatomi Tribe of Okla.",177,No. 00-292,2001-03-19,2001,3,19,"tribal, arbitration, minnis, jurisdiction, inc"
177,Calcano-Martinez v. United States,178,No.00-1011,2001-04-24,2001,4,24,"guttentag, attorney, order, discretion, kneedler"
178,"California Public Employees_ Retirement System v. ANZ Securities, Inc.",179,No. 16-373,2017-04-17,2017,4,17,"action, class, goldstein, clement, repose"
179,Campbell-Ewald Co. v. Gomez,180,No. 14857,2015-10-14,2015,10,14,"judgment, garre, plaintiff, offer, relief"
180,Camreta v. Greene,181,No. 09-1454,2011-03-01,2011,3,1,"kubitschek, child, seizure, kroger, decision"
181,Caperton v. A.T. Massey Coal Co.,182,No. 08-22,2009-03-03,2009,3,3,"frey, olson, bias, judge, standard"
182,Carachuri-Rosendo v. Holder,183,No. 09-60,2010-03-31,2010,3,31,"srinivasan, offense, felony, conviction, possession"
183,"Caraco Pharmaceutical Laboratories, Ltd. v. Novo Nordisk AS",184,No. 10-844,2011-12-05,2011,12,5,"use, patent, fda, reporting, perry"
184,Carcieri v. Kempthorne,185,No. 07-526,2008-11-03,2008,11,3,"indian, tribe, jurisdiction, maynard, olson"
185,Carey v. Musladin,186,No. 05-785,2006-10-11,2006,10,11,"ott, buttons, fermino, trial, souter"
186,Carey v. Saffold,187,No. 01-301,2002-02-27,2002,2,27,"california, cross, ogden, reporting, appeal"
187,"Carlsbad Technology, Inc. v. HIF Bio, Inc.",188,No. 07-1437,2009-02-24,2009,2,24,"jurisdiction, remand, thermtron, matter, rhodes"
188,Carpenter v. United States,189,No. 16-402,2017-11-29,2017,11,29,"information, dreeben, heritage, corporation, wessler"
189,Carr v. United States,190,No. 08-1301,2010-02-24,2010,2,24,"sorna, register, rothfeld, sex, gannon"
190,Castle Rock v. Gonzales,191,No. 04-278,2005-03-21,2005,3,21,"police, reichel, property, reporting, company1111"
191,Castro v. United States,192,No. 02-6683,2003-10-15,2003,10,15,"motion, second, frick, himmelfarb, successive"
192,CBOCS West v. Humphries,193,No. 06-1431,2008-02-20,2008,2,20,"hawkins, retaliation, action, sullivan, hyndman"
193,"Cedric Kushner Promotions, Ltd. v. King",194,No. 00-549,2001-04-18,2001,4,18,"corporation, person, inc, fourteenth, depo"
194,Central Green Co. v. United States,195,No. 99-859,2000-10-30,2000,10,30,"flood, water, frederick, control, canal"
195,Central Laborers_ Pension Fund v. Heinz,196,No. 02-891,2004-04-19,2004,4,19,"plan, benefit, gossett, goldstein, company1111"
196,Central Va. Community College v. Katz,197,No. 04-885,2005-10-31,2005,10,31,"thro, sovereign, lewis, immunity, bankruptcy"
197,Chadbourne _ Parke LLP v. Troice,198,No. 1279,2013-10-07,2013,10,7,"securities, fraud, purchase, clement, goldstein"
198,Chafin v. Chafin,199,No. 11-1347,2012-12-05,2012,12,5,"child, convention, residence, stay, habitual"
199,Chaidez v. United States,200,No. 11-820,2012-11-01,2012,11,1,"new, strickland, padilla, teague, collateral"
200,Chamber of Commerce of United States v. Brown,201,No. 06-939,2008-03-19,2008,3,19,"money, gottesman, reporting, policy, employer"
201,Chamber of Commerce of United States v. Whiting,202,No. 09-115,2010-12-08,2010,12,8,"licensing, phillips, ogrady, laws, business"
202,Chambers v. United States,203,No. 06-11206,2008-11-10,2008,11,10,"risk, violent, hochman, crime, escape"
203,"Chao v. Mallard Bay Drilling, Inc.",204,No. 00-927,2001-10-31,2001,10,31,"coast, guard, authority, veters, vessels"
204,"Chase Bank USA, N. A. v. McCoy",205,No. 09-329,2010-12-08,2010,12,8,"rate, notice, board, beck, waxman"
205,Chavez v. Martinez,206,No. 01-1444,2002-12-04,2002,12,4,"amendment, fifth, paz, violation, well"
206,Chavez-Meza v. United States,207,No. 17-5639,2018-04-23,2018,4,23,"judge, heritage, corporation, rosenstein, coberly"
207,Cheney v. United States Dist. Court for D. C.,208,No. 03-475,2004-04-27,2004,4,27,"discovery, olson, company1111, president, morrison"
208,Cherokee Nation of Okla. v. Thompson,209,No. 02-1472,2004-11-09,2004,11,9,"contract, miller, srinivasan, secretary, company1111"
209,"Chevron U. S. A., Inc. v. Echazabal",210,No. 00-1406,2002-02-27,2002,2,27,"shapiro, bagenstos, threat, risk, individual"
210,Chickasaw Nation v. United States,211,No. 00-507,2001-10-02,2001,10,2,"luthey, dumont, tax, inc, fourteenth"
211,"China Agritech, Inc. v. Resh",212,No. 17-432,2018-03-26,2018,3,26,"class, action, heritage, corporation, aronson"
212,"Christian Legal Soc. Chapter of Univ. of Cal., Hastings College of Law v. Martinez",213,No. 08-1371,2010-04-19,2010,4,19,"policy, garre, mcconnell, group, school"
213,Christie v. National Collegiate Athletic Assn.,214,No. 16-476,2017-12-04,2017,12,4,"heritage, corporation, sports, new, clement"
214,Christopher v. Harbury,215,No. 01-394,2002-03-18,2002,3,18,"cordray, information, harbury, access, courts"
215,Christopher v. SmithKline Beecham Corp.,216,No. 11-204,2012-04-16,2012,4,16,"sales, clement, commitment, sale, goldstein"
216,CIGNA Corp. v. Amara,217,No. 09-804,2010-11-30,2010,11,30,"plan, olson, summary, kneedler, harm"
217,Circuit City Stores v. Adams,218,No. 99-1379,2000-11-06,2000,11,6,"commerce, nagle, rubin, section, workers"
218,Citizens United v. Federal Election Commission (Reargued),219,No. 08-205,2009-09-09,2009,9,9,"olson, corporations, kagan, interest, stevens"
219,Citizens United v. Federal Election Comm’n,220,No. 08-205,2009-03-24,2009,3,24,"stewart, olson, advocacy, film, book"
220,City and County of San Francisco v. Sheehan,221,No. 131412,2015-03-23,2015,3,23,"feldman, officers, aken, ada, accommodation"
221,"City News _ Novelty, Inc. v. Waukesha",222,No. 99-1680,2000-11-28,2000,11,28,"olson, judicial, meitz, feldman, license"
222,City of Hays v. Vogt,223,No. 16-1495,2018-02-20,2018,2,20,"hearing, heritage, corporation, corkran, criminal"
223,"City of Littleton v. Z.J. Gifts D-4, L.L.C.",224,No. 02-1609,2004-03-24,2004,3,24,"gross, business, judicial, license, inc"
224,City of Sherrill v. Oneida Indian Nation of N. Y.,225,No. 03-855,2005-01-11,2005,1,11,"new, land, treaty, york, company1111"
